,buyer,count
550,Varick Media w/ Invite Media,44
551,Varick US w/Amazon,3
552,Vayner Media US w/Amazon,36
553,Verizon Media DSP - APAC,86
554,Verizon Media DSP - EMEA,13
555,Verizon Media DSP - Global,7409
556,Vivaki DE w/Amazon,1
557,Vivaki DE w/DBM,27
558,Vivaki ES w/DBM,213
559,Vivaki FR w/Amazon,1
560,Vivaki FR w/DBM,102
561,Vivaki GR w/DBM,11
562,Vivaki IT w/DBM,142
563,Vivaki NL w/DBM,5
564,Vivaki Norway w/DBM,331
565,Vivaki NO w/Adform,292
566,Vivaki SEA w/ Invite,16
567,Vivaki SEA w/ TTD,16
568,Vivaki Sweden w/DBM,273
569,Vivaki (UAE) w/DBM,2316
570,Vivaki UK Blue449 w/Amazon,1285
571,Vivaki UK Starcom w/Amazon,2
572,Vivaki UK w/DBM,3160
573,Vivaki UK w/TheTradeDesk,347
574,Vivaki UK Zenith w/Amazon,45
575,Vivaki US Digitas w/Amazon,13
576,Vivaki US MediaVest w /Amazon,6
577,Vivaki US Spark w/Amazon,55
578,Vivaki US Starcom w/Amazon,33
579,Vivaki US Zenith w/Amazon,5
580,VivaKi w/ Invite Media,14
581,Vuble.tv,20
582,Wavemaker UK w/Amazon,2865
583,Wayfair w/ AppNexus,317
584,Webranking w/DBM,29
585,webrepublic w/DBM,149
586,Wider Planet,26
587,Xaxis AU w/ AppNexus,2
588,Xaxis AU w/ The Trade Desk,82
589,Xaxis Belgium v2 w/Appnexus,16
590,Xaxis (CZ) w/AppNexus,2
591,Xaxis DK w/AppNexus,15
592,Xaxis EMEA w/The Trade Desk,334
593,Xaxis HK c/o The Trade Desk,12
594,Xaxis HK w/ DBM,59
595,Xaxis ID c/o The Trade Desk,34
596,Xaxis (IT) w/DBM,13
597,Xaxis (MENA) w/ DBM,356
598,Xaxis RO w/AppNexus,1
599,Xaxis SG w/ TTD,197
600,Xaxis (SK) w/AppNexus,1
601,Xaxis US w/ Amazon,24
602,Xaxis w/ Amazon (CA),210
603,Xaxis w/ AppNexus,2
604,Xaxis w/ Invite Media,4955
605,Xaxis w/ The Trade Desk,3
606,Xaxis w/ The Trade Desk (CA),62
607,Yandex.ru,9
608,Yourposition w/DBM,33
609,Zalando w/ Invite Media,117
610,Zamplus,4
611,Zebestof EMEA,1
612,Zemanta,1964
613,Zenith Optimedia (IL) w/ DBM,41
614,Zenith_Reckitt Benckiser_APAC​ w/ DBM ​,9
615,Zenith_Reckitt Benckiser_NA w/ DBM,42
616,Zenith Vivaki UK w/TheTradeDesk,382
617,ZER Advertising (TR) w/DBM,44
618,Ziff Davis_DBM,5
619,Zucks Inc.,1
